Buffer size: 10
Score: 1843.7;Steps: 249.9
Score: 2193.5;Steps: 292.4
Score: 2274.6;Steps: 292.4
Score: 2034.3;Steps: 236.3
Score: 1917.9;Steps: 221.4
Score: 2083.8;Steps: 258.9
Score: 1837.2;Steps: 226.5
Score: 1864.5;Steps: 201.7
Score: 1558.3;Steps: 172.1
Score: 1747.0;Steps: 185.3
Score: 2071.1;Steps: 257.5
Score: 2205.2;Steps: 287.1
Score: 1918.6;Steps: 229.9
Score: 2001.9;Steps: 259.9
Score: 2366.4;Steps: 322.5
Score: 1729.8;Steps: 214.6
Score: 1987.5;Steps: 265.1
Score: 2016.2;Steps: 282.8
Score: 2012.9;Steps: 332.8
Score: 1793.6;Steps: 207.7
Score: 2386.6;Steps: 289.1
Score: 1880.0;Steps: 250.5
Score: 1937.0;Steps: 271.7
Score: 1777.2;Steps: 212.3
Score: 1820.2;Steps: 260.7
Score: 1233.0;Steps: 161.2
Score: 1424.4;Steps: 172.5
Score: 2110.0;Steps: 314.4
Score: 1983.3;Steps: 255.9
Score: 2052.5;Steps: 263.6
Score: 1255.1;Steps: 143.0
Score: 2120.9;Steps: 283.7
Score: 1961.5;Steps: 230.4
Score: 1564.7;Steps: 226.6
Score: 1256.5;Steps: 145.2
Score: 1788.9;Steps: 214.0
Score: 1943.3;Steps: 218.4
Score: 1220.0;Steps: 134.7
Score: 1778.6;Steps: 223.2
Score: 1524.4;Steps: 201.9
Score: 2399.5;Steps: 279.1
Score: 2308.3;Steps: 258.3
Score: 1764.0;Steps: 211.6
Score: 2435.2;Steps: 273.4
Score: 1854.3;Steps: 231.5
Score: 1984.5;Steps: 407.7
Score: 2163.3;Steps: 282.1
Score: 2164.1;Steps: 361.2
Score: 1535.3;Steps: 205.1
Score: 2219.9;Steps: 268.6
Score: 1870.5;Steps: 256.8
Score: 2324.9;Steps: 334.8
Score: 1784.3;Steps: 264.7
Score: 2126.3;Steps: 267.4
Score: 1738.3;Steps: 208.2
Score: 1987.9;Steps: 274.8
Score: 2140.3;Steps: 257.2
Score: 2364.4;Steps: 291.4
Score: 2166.8;Steps: 281.6
Score: 2258.0;Steps: 249.0
Score: 2675.6;Steps: 312.0
Score: 1914.4;Steps: 210.0
Score: 1997.6;Steps: 242.1
Score: 2173.0;Steps: 256.5
Score: 2256.9;Steps: 308.2
Score: 2020.4;Steps: 256.6
Score: 2180.1;Steps: 320.7
Score: 2343.3;Steps: 287.1
Score: 2251.0;Steps: 331.3
Score: 2044.9;Steps: 216.6
Score: 1919.9;Steps: 381.8
